108,0,0
110,25,0
112,50,0
113.5,75,0
115,100,0
116,125,0
117.5,150,0
125,150,0
150,150,0
175,150,0
200,150,0
225,150,0
225,175,0
225,200,0
225,220,0
200,220,0
175,220,0
150,220,0
125,220,0
100,220,0
75,220,0
50,220,0
25,220,0
0,219.5,0
-25,219,0
-50,217,0
-75,215,0
-100,212,0
-125,209,0
-150,203,0
-158,200,0
-175,190,0
-190,175,0
-203,150,0
-211,125,0
-220,100,0
-225,85,0
-209,85,0
-200,100,0
-182,125,0
-175,132,0
-150,145,0
-125,150,0
-100,150,0
-87,150,0
-87.5,125,0
-89,100,0
-92,75,0
-95,50,0
-100,25,0
-105,0,0
-113,-25,0
-122,-50,0
-136,-75,0
-152,-100,0
-170,-125,0
-186,-150,0
-189,-175,0
-178,-200,0
-175,-205,0
-150,-220,0
-125,-220,0
-100,-202,0
-85,-175,0
-77,-150,0
-73,-125,0
-70,-100,0
-67.5,-75,0
-65,-50,0
-62,-25,0
-60,0,0
-57,25,0
-54.5,50,0
-51.5,75,0
-49,100,0
-47,125,0
-45,150,0
-25,150,0
0,150,0
25,150,0
50,150,0
58,150,0
55,125,0
53,100,0
51,75,0
49,50,0
47,25,0
44.5,0,0
42,-25,0
40,-50,0
38.5,-75,0
37.5,-100,0
37,-125,0
37.5,-150,0
43,-175,0
49,-185,0
66,-200,0
75,-205,0
100,-215,0
125,-218,0
150,-214,0
175,-203,0
179,-200,0
201.5,-175,0
213,-150,0
221,-125,0
226.5,-100,0
227.5,-88,0
210,-88,0
209,-100,0
200,-123,0
197,-125,0
175,-141,0
150,-144,0
125,-134,0
117,-125,0
109,-100,0
106,-75,0
106,-50,0
106.5,-25,0